Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Azerbaijan,AZE,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,93.2,93.7,94,94.45,..
Azerbaijan,AZE,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,99.2,99.1,99.2,99.2,..
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Azerbaijan,AZE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Azerbaijan,AZE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
Azerbaijan,AZE,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,28.57120323,..,..,..,..
"Bahamas, The",BHS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,..
"Bahamas, The",BHS,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,100,100,100,100,..
"Bahamas, The",BHS,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,100,100,100,100,..
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
"Bahamas, The",BHS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
"Bahamas, The",BHS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
"Bahamas, The",BHS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Bahrain,BHR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,..
Bahrain,BHR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,100,100,100,100,..
Bahrain,BHR,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,100,100,100,100,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Bahrain,BHR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Bahrain,BHR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
Bahrain,BHR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,82.61284637,..,..,..,..
Bangladesh,BGD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.6,21.9,23.4,25,..
Bangladesh,BGD,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,5.9,6.7,7.5,8.5,..
Bangladesh,BGD,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,53.8,55.3,56.5,58,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,88,91.80000305,92.19999695,96.19999695,..
Bangladesh,BGD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.57102966,89.08300781,88.85359955,95.21196747,..
Bangladesh,BGD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5,96.5,97.80000305,97.80000305,..
Bangladesh,BGD,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,50.04691315,..,..,..,..
Barbados,BRB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,..
Barbados,BRB,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,100,100,100,100,..
Barbados,BRB,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,100,100,100,100,..
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Barbados,BRB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Barbados,BRB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
Barbados,BRB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Belarus,BLR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.4,99.5,99.5,99.6,..
Belarus,BLR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,98.3,98.55,98.7,98.8,..
Belarus,BLR,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,99.8,99.8,99.9,99.8,..
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Belarus,BLR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Belarus,BLR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
Belarus,BLR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,81.15588379,..,..,..,..
Belgium,BEL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,..
Belgium,BEL,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,100,100,100,100,..
Belgium,BEL,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,100,100,100,100,..
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Belgium,BEL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Belgium,BEL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
Belgium,BEL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,98.63832092,..,..,..,..
Belize,BLZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,82.6,82.4,82.1,82.1,..
Belize,BLZ,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,73.1,72.7,72.8,72.7,..
Belize,BLZ,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,95.3,95,94.8,94.6,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.18901062,91.72000122,92.72000122,97.11333466,..
Belize,BLZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.02072144,86.51377106,87.83975983,96.07446289,..
Belize,BLZ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.96857452,97.90000153,98.48000336,98.33164978,..
Belize,BLZ,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Benin,BEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.2,4.2,4,4,..
Benin,BEN,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,0.8,0.8,0.8,0.9,..
Benin,BEN,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,8,7.8,7.5,7.2,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.5,39.24691772,40.32868958,41.41095734,..
Benin,BEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,17.19218445,16.74735069,17.4756794,18.19651031,..
Benin,BEN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,54.20000076,64.3030777,65.22438812,66.14538574,..
Benin,BEN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,38.48922348,..,..,..,..
Bermuda,BMU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..
Bermuda,BMU,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,..,..,..,..,..
Bermuda,BMU,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,..,..,..,..,..
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Bermuda,BMU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Bermuda,BMU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
Bermuda,BMU,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Bhutan,BTN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,77.4,78.3,79.4,80.2,..
Bhutan,BTN,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,63.7,65.05,66.55,68.4,..
Bhutan,BTN,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,97.1,97.05,97.2,97.2,..
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.69999695,99.97436523,100,100,..
Bhutan,BTN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,96.76015472,99.96322632,100,100,..
Bhutan,BTN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.09999847,99.99046326,100,100,..
Bhutan,BTN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Bolivia,BOL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.2,85,85.7,86.1,..
Bolivia,BOL,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,54.6,56.1,57.6,58.55,..
Bolivia,BOL,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,98.7,98.8,98.9,99.1,..
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.80000305,92.80000305,95.08000183,97.55412292,..
Bolivia,BOL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,74.8204422,77.58667755,84.92347717,91.81351471,..
Bolivia,BOL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.40000153,99.5,99.48000336,100,..
Bolivia,BOL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,54.405056,..,..,..,..
Bosnia and Herzegovina,BIH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,43.6,44.7,45,45.2,..
Bosnia and Herzegovina,BIH,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,17.4,17,17.1,16.6,..
Bosnia and Herzegovina,BIH,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,66.9,67.7,67,67.2,..
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Bosnia and Herzegovina,BIH,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Bosnia and Herzegovina,BIH,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
Bosnia and Herzegovina,BIH,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,58.84349823,..,..,..,..
Botswana,BWA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,63,63.8,63.9,64.7,..
Botswana,BWA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,26.3,25.6,25.8,25.2,..
Botswana,BWA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,84.9,84.95,85.3,85.6,..
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.40000153,68.22926331,69.95973969,71.99475861,..
Botswana,BWA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,30.96487236,28.75203323,27.12532806,26.38289833,..
Botswana,BWA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,84,85.59798431,88.16737366,90.7364502,..
Botswana,BWA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,51.03245544,..,..,..,..
Brazil,BRA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.7,95.8,95.8,95.9,..
Brazil,BRA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,77.7,78.5,78.7,79.3,..
Brazil,BRA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,98.7,98.7,98.7,98.7,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.80000305,99.69999695,99.80000305,100,..
Brazil,BRA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.16959381,98.41090393,98.48208618,100,..
Brazil,BRA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.90000153,99.90000153,100,100,..
Brazil,BRA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,70.04394531,..,..,..,..
British Virgin Islands,VGB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..
British Virgin Islands,VGB,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,..,..,..,..,..
British Virgin Islands,VGB,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,..,..,..,..,..
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
British Virgin Islands,VGB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
British Virgin Islands,VGB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
British Virgin Islands,VGB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Brunei Darussalam,BRN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,..
Brunei Darussalam,BRN,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,100,100,100,100,..
Brunei Darussalam,BRN,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,100,100,100,100,..
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Brunei Darussalam,BRN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Brunei Darussalam,BRN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,..
Brunei Darussalam,BRN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Bulgaria,BGR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..
Bulgaria,BGR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,..,..,..,..,..
Bulgaria,BGR,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,..,..,..,..,..
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,99.69999695,..
Bulgaria,BGR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,..
Bulgaria,BGR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,99.80000305,..
Bulgaria,BGR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,72.2040329,..,..,..,..
Burkina Faso,BFA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,9,9.5,10.1,10.6,..
Burkina Faso,BFA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,1,0.9,0.9,0.9,..
Burkina Faso,BFA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,30.6,31.9,33.5,34.6,..
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.21404266,14.39999962,18.37485504,18.95723915,..
Burkina Faso,BFA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..
